53484,-5.18,0.00,9.26
57504,-5.18,0.00,9.26
61540,-4.90,0.08,9.38
65556,-4.90,0.08,9.38
84532,-4.98,0.00,10.00
109492,-4.67,0.00,10.04
135500,-4.51,-0.04,9.41
161500,-4.04,-0.04,8.87
187492,-3.61,0.00,8.90
212448,-3.22,0.00,8.79
237420,-3.30,-0.08,8.32
263408,-3.33,0.00,8.94
288368,-3.18,0.00,9.06
313340,-2.71,0.12,8.32
338288,-2.79,0.00,8.47
363260,-2.82,-0.43,8.08
389260,-2.63,-0.71,7.77
415268,-2.59,-0.71,6.47
441256,-3.37,0.08,8.98
466224,-3.73,0.63,10.63
492224,-5.37,1.88,13.14
518224,-6.71,2.75,15.97
544220,-8.87,3.49,20.16
570224,-9.06,3.14,14.32
596220,-5.30,1.69,8.43
621180,2.04,-1.96,1.73
646140,2.04,-4.55,-1.84
672140,0.90,-4.35,-0.24
698140,-0.39,-3.22,3.57
724136,-2.59,-1.96,9.96
750144,-5.45,-2.08,10.87
777188,-5.65,-1.69,10.16
804220,-4.55,-1.14,9.57
830220,-1.88,-1.06,7.30
856220,-1.02,-1.22,5.81
882224,-1.73,-1.29,6.12
908220,0.12,-0.24,8.08
933188,-3.10,0.67,10.04
959180,-5.06,0.86,10.51
985188,-5.77,1.22,12.00
1011180,-5.92,1.18,11.73
1038220,-5.65,0.90,10.67
1065260,-5.10,1.14,10.51
1092296,-3.96,0.94,9.38
1118300,-3.57,0.78,8.83
1144296,-2.98,0.82,8.43
1170304,-3.06,0.75,8.51
1196300,-3.57,0.71,8.24
1222312,-3.45,0.94,8.90
1248300,-3.06,0.82,8.63
1274300,-3.49,0.63,8.67
1300296,-4.12,0.78,9.85
1326308,-5.45,1.29,10.40
1353344,-7.18,2.71,16.08
1380384,-9.53,2.55,20.63
1407424,-9.30,3.22,12.59
1434456,-2.08,1.45,4.16
1460460,7.10,-2.82,-3.22
1487504,3.69,-3.88,-1.02
1514540,-2.98,-3.61,3.10
1541584,-4.16,-2.04,10.24
1569668,-3.80,-2.00,13.30
1597740,-4.71,-2.51,10.16
1625820,-4.00,-1.92,7.77
1652864,-2.63,-1.80,8.00
1679908,-1.96,-1.96,6.86
1706940,-1.26,-1.92,5.88
1733980,-0.55,-1.84,7.49
1761020,-0.71,-1.33,6.86
1788060,-2.47,-0.55,6.98
1815108,-2.24,0.78,10.67
1842148,-4.16,1.29,12.63
1869184,-5.84,0.75,12.00
1896224,-6.47,0.43,11.22
1923268,-5.22,0.67,10.71
1950296,-4.75,0.78,10.32
1977344,-3.96,0.82,10.04
2004384,-3.14,0.75,9.34
2030376,-3.14,0.39,8.51
2056384,-3.06,0.39,8.51
2082376,-2.86,0.35,8.39
2108380,-2.98,0.20,8.59
2134380,-3.45,0.04,8.90
2160376,-3.53,0.08,8.39
2186376,-3.49,0.59,9.22
2212388,-3.65,0.63,9.57
2238380,-3.73,0.67,9.96
2264388,-4.35,0.78,10.04
